District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,latitude,longitude,Province,Male,Female,Total,Households,Area_sq_km, Household Density ,Population_Density
IJARA,352617,323676,348648,1740,8096,1,25439,3279,422,Garissa,"(-1.427885086, 40.73455516)",-1.427885086,40.73455516,NORTH EASTERN,41782,34964,76746,10701,9778.17,1.09,34968.27299
IMENTI NORTH,84555,72865,46724,49,2371,4320,212865,49956,10158,Meru,"(0.083380846, 37.43552549)",0.083380846,37.43552549,EASTERN,96455,94604,191059,51419,1515.94,33.92,94667.62719
IMENTI SOUTH,54240,15755,40921,4,409,1822,123687,35025,17377,Meru,"(-0.122681965, 37.60133849)",-0.122681965,37.60133849,EASTERN,83596,82722,166318,42793,657.31,65.1,82849.17896
ISIOLO,101525,152164,166549,9957,11874,115,20261,5696,1012,Isiolo,"(1.255057085, 38.46170147)",1.255057085,38.46170147,EASTERN,23997,22539,46536,9745,15477.82,0.63,22540.55041
KAJIADO CENTRAL,95534,218961,270148,472,31564,355,39657,7453,2680,Kajiado,"(-2.133910157, 36.89341002)",-2.133910157,36.89341002,RIFE VALLEY,63652,65373,129025,26352,8056.43,3.27,65380.90077
KAJIADO NORTH,151295,314080,236790,991,2113,5321,150216,257367,3486,Kajiado,"(-1.646437311, 36.44660994)",-1.646437311,36.44660994,RIFE VALLEY,76387,74289,150676,34427,6973.34,4.94,74299.95415
KAKAMEGA CENTRAL,65044,12219,12864,2004,785,2705,277667,23486,1479,Kakamega,"(0.350512813, 34.6856109)",0.350512813,34.6856109,WESTERN,98023,105490,203513,41352,370.93,111.48,105754.2628
KAKAMEGA EAST,43994,7662,3450,0,458,6198,154080,11131,2799,Kakamega,"(0.273804872, 34.85789384)",0.273804872,34.85789384,WESTERN,75699,81476,157175,33661,443.24,75.94,81646.78558
KAKAMEGA NORTH,63536,10644,11670,4,991,567,214560,9276,2634,Kakamega,"(0.473620028, 34.82641205)",0.473620028,34.82641205,WESTERN,97351,102925,200276,39404,423.8,92.98,103154.7098
KAKAMEGA SOUTH,29661,4793,1814,2,193,6123,117054,4551,639,Kakamega,"(0.190561619, 34.7077479)",0.190561619,34.7077479,WESTERN,49260,55409,104669,23144,143.56,161.21,55752.13179
KALOLENI,54501,10424,105773,0,826,532,158360,24463,1441,Kilifi,"(-3.768179495, 39.54477529)",-3.768179495,39.54477529,COAST,102163,114222,216385,33158,871.56,38.04,114339.2186
KEIYO,97350,89881,64177,4,2737,393,166025,16567,27682,Elgeyo Marakwet,"(0.489045271, 35.57039657)",0.489045271,35.57039657,RIFE VALLEY,68649,68705,137354,28369,1290,21.99,68758.21628
KERICHO,130712,16000,46176,2,9070,490,237377,33681,2720,Kericho,"(-0.34219841, 35.21130866)",-0.34219841,35.21130866,RIFE VALLEY,126197,122741,248938,53136,877.8,60.53,122884.7651
KIAMBU EAST KIAMBAA,28767,11057,10459,110,1028,9885,91032,185126,2909,Kiambu,"(-1.158558742, 36.80546766)",-1.158558742,36.80546766,CENTRAL,22768,22306,45074,12468,100.4,124.18,22532.77291
KIAMBU WEST,22484,19745,5765,0,3444,1260,61827,186631,913,Kiambu,"(-1.139177531, 36.62625892)",-1.139177531,36.62625892,CENTRAL,25493,25508,51001,13465,197.39,68.22,25637.15041
KIBWEZI,64791,29657,253037,2,4826,444,180986,12114,32905,Makueni,"(-2.468788914, 38.02538524)",-2.468788914,38.02538524,EASTERN,111813,114038,225851,45843,3894.48,11.77,114066.7106
KIKUYU,32758,17304,9499,0,3381,18820,110976,399043,1379,Kiambu,"(-1.236882983, 36.63360077)",-1.236882983,36.63360077,CENTRAL,424,398,822,251,4.78,52.51,486.7029289
KILIFI,66502,17440,193040,6,1029,1435,276720,115548,1746,Kilifi,"(-3.494969907, 39.60114414)",-3.494969907,39.60114414,COAST,165217,182876,348093,55663,3839.68,14.5,182919.0288
KINANGO,84133,46081,170326,552,723,120,129011,6619,1991,Kwale ,"(-3.96233059, 39.10335046)",-3.96233059,39.10335046,COAST,95472,106099,201571,32394,3973.04,8.15,106123.03
KIPKELION,88104,35276,26783,0,10503,250,172350,10129,10020,Kericho,"(-0.155533799, 35.47881562)",-0.155533799,35.47881562,RIFE VALLEY,57546,55888,113434,23675,676.11,35.02,55973.11337
KIRINYAGA,144112,27642,101596,7,3990,10606,465455,82458,10227,Kirinyaga,"(-0.519266797, 37.32018369)",-0.519266797,37.32018369,CENTRAL,220494,224156,444650,126665,1402.71,90.3,224313.1914
KISII CENTRAL,77353,5427,28433,0,931,670,270754,47631,1386,Kisii,"(-0.589287405, 34.79181187)",-0.589287405,34.79181187,NYANZA,133883,149234,283117,60739,335.51,181.03,149633.0432
KISII SOUTH,25627,788,7930,0,118,140,93509,12192,185,Kisii,"(-0.664610487, 34.6895693)",-0.664610487,34.6895693,NYANZA,25973,28996,54969,11355,78.43,144.78,29327.16155
KISUMU EAST,79369,36552,58628,5,953,2559,285087,81850,954,Kisumu,"(-0.103412297, 34.80473358)",-0.103412297,34.80473358,NYANZA,41091,42394,83485,18041,284.35,63.45,42538.50853
KISUMU WEST,50329,16670,35594,2,813,529,176289,12245,291,Kisumu,"(-0.087587476, 34.53285818)",-0.087587476,34.53285818,NYANZA,65384,72591,137975,31608,352.23,89.74,72776.62871
KITUI,138576,17395,381149,24,48647,574,370942,31868,105781,Kitui,"(-1.392710301, 38.30094003)",-1.392710301,38.30094003,EASTERN,155446,171802,327248,67254,7172.26,9.38,171823.6732
KOIBATEK,96952,67988,100644,6,8228,174,145569,20700,22805,Baringo,"(0.105862677, 35.86953085)",0.105862677,35.86953085,RIFE VALLEY,68064,67590,135654,26523,2273.55,11.67,67619.93732
KURIA EAST,48004,15322,31684,0,1256,228,138434,11684,2446,Migori,"(-1.279753411, 34.65699509)",-1.279753411,34.65699509,NYANZA,40248,41585,81833,13513,188.03,71.87,41799.05095
KURIA WEST,84830,15060,43929,0,839,808,283475,19365,2031,Migori,"(-1.18554383, 34.51983447)",-1.18554383,34.51983447,NYANZA,66766,69496,136262,21501,365.93,58.76,69678.45566
KWALE,32903,4771,58873,1,269,89,117353,36703,517,Kwale ,"(-4.221293887, 39.40753681)",-4.221293887,39.40753681,COAST,64649,67449,132098,24506,947.88,25.85,67517.20378
KWANZA,53090,48151,15006,29,3462,1316,181888,12850,2484,Trans Nzoia,"(1.134996095, 34.85810469)",1.134996095,34.85810469,RIFE VALLEY,108501,108809,217310,42605,1106.59,38.5,108907.0499
KYUSO,53660,27593,175228,1190,25863,113,78526,3371,84514,Kitui,"(-0.440861626, 38.27042885)",-0.440861626,38.27042885,EASTERN,64719,74303,139022,26498,4820.1,5.5,74316.4269
LAGDERA,197846,489282,561883,104992,33568,16,19710,4020,439,Garissa,"(0.288065622, 39.89717479)",0.288065622,39.89717479,NORTH EASTERN,126612,106205,232817,35534,13285.02,2.67,106214.5304
LAIKIPIA EAST,55695,105048,46454,22,2374,1209,125100,22197,3972,Laikipia,"(0.093934415, 36.95183375)",0.093934415,36.95183375,RIFE VALLEY,47846,47497,95343,26516,2846.76,9.31,47513.80718
LAIKIPIA NORTH,39417,86452,120416,2064,3990,17,13513,614,14818,Laikipia,"(0.515458301, 36.99627658)",0.515458301,36.99627658,RIFE VALLEY,16158,15181,31339,6360,2598.1,2.45,15187.21916
LAIKIPIA WEST,94573,149414,115864,717,7111,1481,179512,19036,6843,Laikipia,"(0.39729996, 36.5181069)",0.39729996,36.5181069,RIFE VALLEY,85278,88150,173428,40973,3769.61,10.87,88172.6225
LAISAMIS,61462,187959,270213,46680,11843,45,5049,633,1584,Marsabit,"(2.238105939, 37.48344825)",2.238105939,37.48344825,EASTERN,29088,29971,59059,13248,20133.42,0.66,29972.44476
LAMU,81200,15626,68178,47,2572,55,87951,7636,1219,Lamu,"(-2.018858269, 40.74388079)",-2.018858269,40.74388079,COAST,42813,38488,81301,17391,6258.46,2.78,38494.84082
LARI,34890,23554,2677,0,2291,960,69419,29186,896,Kiambu,"(-0.92811243, 36.67684469)",-0.92811243,36.67684469,CENTRAL,60632,63263,123895,30779,439.16,70.09,63401.06358
LOITOKITOK,165011,185909,192720,134,10997,451,78040,11471,9925,Kajiado,"(-2.635934635, 37.47875865)",-2.635934635,37.47875865,RIFE VALLEY,61472,61277,122749,25565,6389.1,4,61286.62139
LUGARI,78650,35159,12124,2,817,2831,275758,31316,2223,Kakamega,"(0.723211024, 35.02947866)",0.723211024,35.02947866,WESTERN,131855,139845,271700,54680,641.62,85.22,140050.5033
MAARA,32522,10418,36423,6,188,4030,99410,16724,18638,Meru,"(-0.228019729, 37.62522793)",-0.228019729,37.62522793,EASTERN,37364,37767,75131,19509,408.58,47.75,37858.44843
MACHAKOS,121693,46665,148309,9,2665,2595,282312,127965,9489,Machakos,"(-1.50054564, 37.16409824)",-1.50054564,37.16409824,EASTERN,71438,78058,149496,33559,564.55,59.44,78184.53972
MAKUENI,84465,23111,192329,3,14326,463,233209,15639,27180,Makueni,"(-1.881125246, 37.67253055)",-1.881125246,37.67253055,EASTERN,87571,96177,183748,36541,1249.27,29.25,96247.09774
MALINDI,65960,19085,173295,10,2125,478,220186,36729,2818,Kilifi,"(-2.934879654, 39.74330931)",-2.934879654,39.74330931,COAST,126308,133467,259775,38704,7696.93,5.03,133483.4102
MANDERA CENTRAL,467713,745295,1767102,385085,83649,0,85687,10415,1806,Mandera,"(3.226535113, 40.72748791)",3.226535113,40.72748791,NORTH EASTERN,184891,158652,343543,42017,11606.68,3.62,158667.9297
MANDERA EAST,306791,542948,1506203,179713,64985,6,42516,6579,1333,Mandera,"(3.521529392, 41.29294811)",3.521529392,41.29294811,NORTH EASTERN,113535,87460,200995,25892,6069.16,4.27,87478.70687
MANDERA WEST,302474,344581,656442,366021,43030,0,72459,10014,50363,Mandera,"(3.593363344, 40.2334622)",3.593363344,40.2334622,NORTH EASTERN,161628,134022,295650,34273,8120.05,4.22,134041.9048
MANGA,22548,1989,7054,0,218,84,65849,12267,1105,Nyamira,"(-0.688310175, 34.90211779)",-0.688310175,34.90211779,NYANZA,41678,46181,87859,19295,111.32,173.33,46555.39813
MARAKWET,99969,202260,108093,17,10636,218,143608,12207,33422,Elgeyo Marakwet,"(1.08405524, 35.50699822)",1.08405524,35.50699822,RIFE VALLEY,89136,90322,179458,37581,1583.88,23.73,90378.27699
MARSABIT,25906,13306,28162,915,2800,14,8286,1560,440,Marsabit,"(2.350360288, 37.94495682)",2.350360288,37.94495682,EASTERN,15780,15815,31595,6558,2045.73,3.21,15822.71363
MASABA,63945,6651,19094,2,1845,425,189884,20822,1130,Kisii,"(-0.793929262, 34.88253143)",-0.793929262,34.88253143,NYANZA,67399,75588,142987,31121,193.37,160.94,75936.54941
MBEERE,83648,26834,166679,11,7234,1347,202410,14675,74004,Embu,"(-0.666137176, 37.66541038)",-0.666137176,37.66541038,EASTERN,106932,109577,216509,50579,2090.86,24.19,109628.1426
MBOONI,51188,13010,119010,5,6737,245,161437,9590,11320,Makueni,"(-1.649117358, 37.60666503)",-1.649117358,37.60666503,EASTERN,83997,92292,176289,36765,892.62,41.19,92386.10163
MERU CENTRAL,57108,24524,31093,2,862,2010,131170,22164,14556,Meru,"(0.001443681, 37.58330732)",0.001443681,37.58330732,EASTERN,70315,71453,141768,37209,790.15,47.09,71541.98943
MERU SOUTH,36893,19283,52354,2,486,4575,123515,15940,33942,Meru,"(-0.330686401, 37.67297626)",-0.330686401,37.67297626,EASTERN,40911,43726,84637,21157,557.98,37.92,43799.31983
MIGORI,145339,33958,79625,1,5848,1021,428046,28729,672,Migori,"(-0.994047994, 34.30280979)",-0.994047994,34.30280979,NYANZA,121181,132228,253409,51951,1092.16,47.57,132338.9554
MOLO,182243,149906,37724,2,20208,1789,439209,39865,64052,Nakuru,"(-0.409755795, 35.75756717)",-0.409755795,35.75756717,RIFE VALLEY,219216,216006,435222,94283,2276.9,41.41,216102.2783
MOYALE,116256,75748,146523,86314,11505,0,27769,1778,359,Marsabit,"(3.117620629, 38.80269655)",3.117620629,38.80269655,EASTERN,32832,28475,61307,9752,9310.32,1.05,28478.52641
MSAMBWENI,138107,32281,120556,60,1540,320,187463,54898,1974,Kwale ,"(-4.397198722, 39.16173404)",-4.397198722,39.16173404,COAST,96815,101771,198586,36059,3112.07,11.59,101802.1095
MT. ELGON,45941,20359,14668,2,6347,725,107726,3044,7537,Bungoma,"(0.928746904, 34.59729929)",0.928746904,34.59729929,WESTERN,81232,81068,162300,30165,947.8,31.83,81153.70585
MUMIAS,73060,15498,8443,4,1202,3579,338298,20479,1415,Kakamega,"(0.35427418, 34.48762031)",0.35427418,34.48762031,WESTERN,115328,125744,241072,50730,428.68,118.34,126013.0305
MURANGA NORTH,102573,21865,86808,0,930,3843,246041,89409,6019,Murang'a,"(-0.675384535, 36.98118146)",-0.675384535,36.98118146,CENTRAL,151033,163375,314408,87030,913.79,95.24,163540.282
MURANGA SOUTH,112181,25974,82937,4,2066,14336,365272,280819,25643,Murang'a,"(-0.845673319, 37.05522802)",-0.845673319,37.05522802,CENTRAL,156115,165195,321310,84114,762.77,110.27,165399.6685
MUTOMO,63773,10254,224621,396,26750,294,117422,3750,88495,Kitui,"(-2.179047638, 38.53912323)",-2.179047638,38.53912323,EASTERN,85554,93098,178652,32427,12833.65,2.53,93104.66638
MWALA,52251,10735,133335,7,6587,206,154782,9466,9345,Machakos,"(-1.399783931, 37.52391049)",-1.399783931,37.52391049,EASTERN,76334,81342,157676,33760,1014.01,33.29,81417.27934
MWINGI,84332,10262,276392,513,35361,171,144292,5249,110271,Kitui,"(-0.907180566, 38.36852014)",-0.907180566,38.36852014,EASTERN,107186,120692,227878,45445,5217.1,8.71,120712.5451
NAIVASHA,139501,240746,115363,67,19375,6390,222316,84814,6487,Nakuru,"(-0.727134387, 36.33344468)",-0.727134387,36.33344468,RIFE VALLEY,73424,73433,146857,36293,2201.08,16.49,73466.35817
NAKURU,83787,70632,62188,2,3938,3803,244309,151941,3610,Nakuru,"(-0.134672183, 36.03461164)",-0.134672183,36.03461164,RIFE VALLEY,74315,72848,147163,33709,1150.95,29.29,72912.5684
NAKURU NORTH,34463,43751,11762,0,2273,1912,196487,151864,1446,Nakuru,"(-0.135028953, 36.16401596)",-0.135028953,36.16401596,RIFE VALLEY,68149,70909,139058,31938,526,60.72,71038.56084
NANDI CENTRAL,85198,34680,5220,13,675,476,171878,15077,6652,Nandi,"(0.237462739, 35.08490348)",0.237462739,35.08490348,RIFE VALLEY,70344,72075,142419,28367,506.18,56.04,72213.97033
NANDI EAST,35420,10971,5294,6,963,181,72246,5060,2130,Nandi,"(0.105368029, 35.23779105)",0.105368029,35.23779105,RIFE VALLEY,57741,54897,112638,25598,528.57,48.43,55006.24002
