District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,latitude,longitude,Province,Male,Female,Total,Households,Area_sq_km, Household Density ,Population_Density
THIKA WEST,17323,14716,17838,0,725,2884,80174,191810,562,Kiambu,"(-1.099288796, 37.04502993)",-1.099288796,37.04502993,CENTRAL,12299,12188,24487,7283,207.31,35.13,12247.32661
TIGANIA,97740,29995,94750,2529,5325,8053,227334,18812,28225,Meru,"(0.256927453, 37.77333779)",0.256927453,37.77333779,EASTERN,139371,150216,289587,61666,1122.88,54.92,150340.1192
TINDERET,34023,9942,14649,0,4205,58,62074,2876,3718,Nandi,"(-0.013491939, 35.3167413)",-0.013491939,35.3167413,RIFE VALLEY,39109,37946,77055,14489,379.67,38.16,38049.00788
TRANS MARA,459106,184780,150496,43,20466,1097,275347,11468,22335,Narok,"(-1.159714592, 34.89742997)",-1.159714592,34.89742997,RIFE VALLEY,130323,130493,260816,47324,2845.99,16.63,130538.7918
TRANS NZOIA EAST,57887,49074,6136,12,2474,426,183284,71188,3802,Trans Nzoia,"(0.942674226, 34.89426897)",0.942674226,34.89426897,RIFE VALLEY,96596,98577,195173,39119,629.78,62.12,98730.38055
TRANS NZOIA WEST,68170,42618,10811,6,2778,2366,265443,77417,3997,Trans Nzoia,"(1.022635873, 35.18029104)",1.022635873,35.18029104,RIFE VALLEY,117754,121100,238854,47146,622.05,75.79,121289.2999
TURKANA CENTRAL,196492,560671,1273445,150700,90067,220,27405,3773,1985,Turkana,"(3.05371677, 35.44299468)",3.05371677,35.44299468,RIFE VALLEY,101846,102536,204382,31217,13990.49,2.23,102543.2797
TURKANA NORTH,652288,1274062,1874668,269185,194434,132,23876,3441,307,Turkana,"(4.31378822, 35.09717514)",4.31378822,35.09717514,RIFE VALLEY,159941,142978,302919,40422,35091.54,1.15,142982.5578
TURKANA SOUTH,685832,1682418,2846748,412577,273686,218,114068,8230,30289,Turkana,"(2.078370044, 35.99979492)",2.078370044,35.99979492,RIFE VALLEY,121022,105357,226379,28437,18670.82,1.52,105363.4819
VIHIGA,59588,3747,14323,1,298,486,199210,15368,598,Vihiga,"(0.079761357, 34.72682968)",0.079761357,34.72682968,WESTERN,45400,51135,96535,20645,103.69,199.1,51572.84357
WAJIR EAST,159846,460690,720936,167764,32192,2,35265,10145,390,Wajir,"(2.195672158, 40.36685178)",2.195672158,40.36685178,NORTH EASTERN,78399,63219,141618,18414,13307.77,1.38,63224.89122
WAJIR NORTH,189707,192787,300079,161958,23681,1,41780,3549,327,Wajir,"(2.931162031, 39.5873795)",2.931162031,39.5873795,NORTH EASTERN,73628,61877,135505,17592,8554.59,2.06,61885.60684
WAJIR SOUTH,331458,389482,464512,97111,29113,0,27298,3650,414,Wajir,"(0.974263337, 40.34314459)",0.974263337,40.34314459,NORTH EASTERN,66842,54728,121570,17030,21540.15,0.79,54731.10314
WAJIR WEST,113541,363924,380699,106818,30517,0,35767,4793,141,Wajir,"(1.920164855, 39.5240015)",1.920164855,39.5240015,NORTH EASTERN,93597,72796,166393,20716,13067.21,1.59,72803.16274
WARENG,85421,55837,6514,0,2105,6374,168639,44609,6312,Uasin Gishu,"(0.299690606, 35.33850049)",0.299690606,35.33850049,RIFE VALLEY,70614,69852,140466,27773,832.61,33.36,69936.81042
WEST POKOT,129475,114050,173693,294,8243,149,143426,8397,32080,West Pokot,"(1.492414256, 35.16354392)",1.492414256,35.16354392,RIFE VALLEY,68488,69879,138367,26209,2189.2,11.97,69910.28449
YATTA,94779,35321,263080,1,10828,405,237075,15843,23288,Machakos,"(-1.060809489, 37.60220541)",-1.060809489,37.60220541,EASTERN,106094,113963,220057,46905,2214.83,21.18,114010.9016
