COUNTY,Class,Number,Gender,Year,County (Centroids)
Kisumu         ,Class 5,16470,Boys,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 5,22465,Boys,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 5,11180,Boys,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 5,6254,Boys,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 5,1704,Boys,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 5,18955,Boys,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 5,18984,Boys,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 5,6833,Boys,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 5,3657,Boys,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 5,20550,Boys,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 5,20205,Boys,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 5,9007,Boys,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 5,13739,Boys,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 5,30106,Boys,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 5,28110,Boys,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 5,14788,Boys,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 5,16403,Boys,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 5,9920,Boys,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 5,10469,Boys,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 5,9915,Boys,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Samburu        ,Class 5,3119,Boys,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Siaya          ,Class 5,16613,Boys,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Taita Taveta   ,Class 5,4508,Boys,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Tana River     ,Class 5,3092,Boys,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tharaka-Nithi  ,Class 5,6633,Boys,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Trans Nzoia    ,Class 5,15316,Boys,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Turkana        ,Class 5,11975,Boys,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Uasin Gishu    ,Class 5,12769,Boys,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Vihiga         ,Class 5,11016,Boys,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Wajir          ,Class 5,4337,Boys,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
West Pokot     ,Class 5,9549,Boys,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Baringo        ,Class 6,9551,Boys,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bomet          ,Class 6,14450,Boys,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 6,34084,Boys,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 6,15802,Boys,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 6,8041,Boys,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 6,7833,Boys,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 6,7106,Boys,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 6,21112,Boys,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 6,2060,Boys,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 6,9572,Boys,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 6,34387,Boys,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 6,14662,Boys,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 6,21223,Boys,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 6,19547,Boys,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 6,7814,Boys,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 6,20218,Boys,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 6,16349,Boys,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 6,21000,Boys,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 6,10556,Boys,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 6,6322,Boys,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 6,1606,Boys,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 6,18700,Boys,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 6,18421,Boys,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 6,5843,Boys,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 6,3507,Boys,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 6,18959,Boys,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 6,19569,Boys,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 6,8746,Boys,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 6,14284,Boys,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 6,28283,Boys,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 6,27362,Boys,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 6,14524,Boys,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 6,15496,Boys,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 6,9706,Boys,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 6,10216,Boys,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 6,10306,Boys,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Samburu        ,Class 6,2725,Boys,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Siaya          ,Class 6,15981,Boys,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Taita Taveta   ,Class 6,4335,Boys,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Tana River     ,Class 6,2761,Boys,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tharaka-Nithi  ,Class 6,6309,Boys,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Trans Nzoia    ,Class 6,15040,Boys,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Turkana        ,Class 6,11169,Boys,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Uasin Gishu    ,Class 6,12824,Boys,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Vihiga         ,Class 6,10528,Boys,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Wajir          ,Class 6,3719,Boys,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
West Pokot     ,Class 6,8768,Boys,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Baringo        ,Class 7,9865,Boys,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bomet          ,Class 7,15725,Boys,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 7,33430,Boys,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 7,14241,Boys,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 7,8064,Boys,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 7,7659,Boys,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 7,5759,Boys,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 7,19325,Boys,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 7,2048,Boys,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 7,8807,Boys,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 7,30843,Boys,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 7,15008,Boys,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 7,20901,Boys,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 7,19044,Boys,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 7,7651,Boys,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 7,19723,Boys,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 7,16476,Boys,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 7,20236,Boys,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 7,10431,Boys,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 7,6244,Boys,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 7,1578,Boys,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 7,18867,Boys,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 7,18362,Boys,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 7,5063,Boys,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 7,3171,Boys,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 7,17706,Boys,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 7,18738,Boys,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 7,8920,Boys,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 7,14144,Boys,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 7,25784,Boys,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 7,27097,Boys,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 7,13918,Boys,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 7,14364,Boys,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 7,9526,Boys,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 7,10370,Boys,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 7,10065,Boys,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Samburu        ,Class 7,2594,Boys,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Siaya          ,Class 7,14964,Boys,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Taita Taveta   ,Class 7,4629,Boys,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Tana River     ,Class 7,2881,Boys,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tharaka-Nithi  ,Class 7,5847,Boys,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Trans Nzoia    ,Class 7,14664,Boys,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Turkana        ,Class 7,9652,Boys,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Uasin Gishu    ,Class 7,12793,Boys,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Vihiga         ,Class 7,9090,Boys,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Wajir          ,Class 7,3240,Boys,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
West Pokot     ,Class 7,8672,Boys,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Baringo        ,Class 8,7484,Boys,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bomet          ,Class 8,10872,Boys,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 8,19176,Boys,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 8,9169,Boys,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 8,5662,Boys,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 8,6002,Boys,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 8,5025,Boys,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 8,13538,Boys,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 8,1514,Boys,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 8,7540,Boys,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 8,20126,Boys,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 8,11618,Boys,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 8,19498,Boys,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 8,15715,Boys,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 8,6117,Boys,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 8,13362,Boys,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 8,11278,Boys,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 8,16851,Boys,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 8,7906,Boys,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 8,5399,Boys,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 8,1248,Boys,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 8,15087,Boys,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 8,14381,Boys,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 8,3163,Boys,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 8,2214,Boys,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 8,12749,Boys,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 8,12379,Boys,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 8,8359,Boys,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 8,12091,Boys,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 8,22996,Boys,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 8,22340,Boys,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 8,9965,Boys,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 8,9107,Boys,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 8,7056,Boys,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 8,9348,Boys,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 8,9804,Boys,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Samburu        ,Class 8,1917,Boys,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Siaya          ,Class 8,10778,Boys,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Taita Taveta   ,Class 8,4103,Boys,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Tana River     ,Class 8,2014,Boys,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tharaka-Nithi  ,Class 8,4409,Boys,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Trans Nzoia    ,Class 8,9332,Boys,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Turkana        ,Class 8,5031,Boys,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Uasin Gishu    ,Class 8,9584,Boys,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Vihiga         ,Class 8,6646,Boys,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Wajir          ,Class 8,2916,Boys,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
West Pokot     ,Class 8,5081,Boys,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
West Pokot     ,Class 1,13864,Girls,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Baringo        ,Class 2,8555,Girls,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bomet          ,Class 2,14553,Girls,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 2,34135,Girls,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 2,17653,Girls,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 2,7255,Girls,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 2,7119,Girls,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 2,9917,Girls,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 2,21700,Girls,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 2,2482,Girls,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 2,10285,Girls,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 2,38121,Girls,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 2,14785,Girls,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 2,19282,Girls,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 2,19788,Girls,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 2,6628,Girls,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 2,20925,Girls,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 2,17638,Girls,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 2,21412,Girls,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 2,11893,Girls,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 2,6183,Girls,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 2,1751,Girls,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 2,16904,Girls,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 2,16319,Girls,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 2,5762,Girls,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 2,4313,Girls,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 2,22459,Girls,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 2,21292,Girls,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 2,8767,Girls,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 2,11758,Girls,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 2,30730,Girls,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 2,27396,Girls,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 2,15334,Girls,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 2,17002,Girls,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 2,9693,Girls,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 2,8768,Girls,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 2,8110,Girls,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Samburu        ,Class 2,3436,Girls,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Siaya          ,Class 2,17157,Girls,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Taita Taveta   ,Class 2,4067,Girls,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Tana River     ,Class 2,3480,Girls,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tharaka-Nithi  ,Class 2,6073,Girls,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Trans Nzoia    ,Class 2,16108,Girls,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Turkana        ,Class 2,16667,Girls,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Uasin Gishu    ,Class 2,12171,Girls,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Vihiga         ,Class 2,11816,Girls,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Wajir          ,Class 2,4744,Girls,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
West Pokot     ,Class 2,12467,Girls,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Baringo        ,Class 3,8681,Girls,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bomet          ,Class 3,14780,Girls,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 3,34414,Girls,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 3,17200,Girls,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 3,7233,Girls,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 3,7487,Girls,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 3,7837,Girls,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 3,21946,Girls,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 3,2430,Girls,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 3,10635,Girls,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 3,37398,Girls,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 3,14579,Girls,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 3,19882,Girls,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 3,19681,Girls,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 3,6792,Girls,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 3,20643,Girls,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 3,17256,Girls,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 3,21133,Girls,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 3,11531,Girls,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 3,6299,Girls,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 3,1806,Girls,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 3,17112,Girls,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 3,16206,Girls,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 3,5395,Girls,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 3,3955,Girls,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 3,21856,Girls,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 3,20826,Girls,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 3,8828,Girls,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 3,11960,Girls,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 3,31920,Girls,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 3,27469,Girls,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 3,14972,Girls,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
