COUNTY,Class,Number,Gender,Year,County (Centroids)
Meru           ,Class 1,24044,Girls,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Meru           ,Class 1,24920,Boys,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 1,21378,Boys,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Migori         ,Class 1,21165,Girls,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 1,8555,Girls,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Mombasa        ,Class 1,8517,Boys,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 1,13073,Boys,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Muranga        ,Class 1,12029,Girls,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 1,30895,Girls,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nairobi        ,Class 1,30231,Boys,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 1,29052,Boys,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nakuru         ,Class 1,27163,Girls,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 1,15717,Girls,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Nandi          ,Class 1,16667,Boys,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 1,19795,Boys,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Narok          ,Class 1,18075,Girls,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 1,10060,Girls,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyamira        ,Class 1,10379,Boys,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 1,9257,Boys,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyandarua      ,Class 1,8403,Girls,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 1,7746,Girls,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Nyeri          ,Class 1,8631,Boys,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Samburu        ,Class 1,4524,Boys,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Samburu        ,Class 1,3871,Girls,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Siaya          ,Class 1,17788,Girls,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Siaya          ,Class 1,18293,Boys,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Taita Taveta   ,Class 1,4492,Boys,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Taita Taveta   ,Class 1,4193,Girls,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Tana River     ,Class 1,3924,Girls,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tana River     ,Class 1,4347,Boys,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tharaka-Nithi  ,Class 1,7073,Boys,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Tharaka-Nithi  ,Class 1,6704,Girls,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Trans Nzoia    ,Class 1,16225,Girls,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Trans Nzoia    ,Class 1,16326,Boys,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Turkana        ,Class 1,26444,Boys,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Turkana        ,Class 1,22406,Girls,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Uasin Gishu    ,Class 1,12087,Girls,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Uasin Gishu    ,Class 1,12407,Boys,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Vihiga         ,Class 1,12679,Boys,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Vihiga         ,Class 1,12358,Girls,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Wajir          ,Class 1,5475,Girls,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
Wajir          ,Class 1,7648,Boys,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
West Pokot     ,Class 1,14725,Boys,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Baringo        ,Class 2,9431,Boys,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bomet          ,Class 2,15837,Boys,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 2,33855,Boys,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 2,17737,Boys,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 2,7664,Boys,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 2,7950,Boys,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 2,14085,Boys,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 2,22183,Boys,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 2,2635,Boys,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 2,10762,Boys,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 2,38554,Boys,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 2,15688,Boys,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 2,19802,Boys,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 2,20031,Boys,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 2,7013,Boys,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 2,21425,Boys,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 2,17512,Boys,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 2,23013,Boys,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 2,12533,Boys,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
