District,rural/urban,Male,Female,Total,Households,Area in Sq. Km., Household Density ,Population Density,Gender Index,County,Location 1,Province
KANGUNDO,Rural,0,0,0,0,0,,,,EASTERN,,37.27203719
MAKUENI,Rural,87571,96177,183748,36541,1249.27,29.25,96247.09774,1.098274543,EASTERN,,37.67253055
MBOONI,Rural,83997,92292,176289,36765,892.62,41.19,92386.10163,1.098753527,EASTERN,,37.60666503
KIBWEZI,Rural,111813,114038,225851,45843,3894.48,11.77,114066.7106,1.019899296,EASTERN,,38.02538524
NZAUI,Rural,94961,99381,194342,40654,1378.37,29.49,99449.89369,1.046545424,EASTERN,,37.41612392
GARISSA,Rural,40733,32376,73109,11189,4901.58,2.28,32384.31018,0.794834655,NORTH EASTERN,,39.56855753
LAGDERA,Rural,126612,106205,232817,35534,13285.02,2.67,106214.5304,0.838822544,NORTH EASTERN,,39.89717479
FAFI,Rural,49621,44099,93720,15583,15419.55,1.01,44102.21806,0.888716471,NORTH EASTERN,,40.43908059
IJARA,Rural,41782,34964,76746,10701,9778.17,1.09,34968.27299,0.836819683,NORTH EASTERN,,40.73455516
WAJIR SOUTH,Rural,66842,54728,121570,17030,21540.15,0.79,54731.10314,0.818766644,NORTH EASTERN,,40.34314459
WAJIR NORTH,Rural,73628,61877,135505,17592,8554.59,2.06,61885.60684,0.840400391,NORTH EASTERN,,39.5873795
WAJIR EAST,Rural,78399,63219,141618,18414,13307.77,1.38,63224.89122,0.806375081,NORTH EASTERN,,40.36685178
WAJIR WEST,Rural,93597,72796,166393,20716,13067.21,1.59,72803.16274,0.777759971,NORTH EASTERN,,39.5240015
MANDERA CENTRAL,Rural,184891,158652,343543,42017,11606.68,3.62,158667.9297,0.858083952,NORTH EASTERN,,40.72748791
MANDERA EAST,Rural,113535,87460,200995,25892,6069.16,4.27,87478.70687,0.770335139,NORTH EASTERN,,41.29294811
MANDERA WEST,Rural,161628,134022,295650,34273,8120.05,4.22,134041.9048,0.829200386,NORTH EASTERN,,40.2334622
SIAYA,Rural,238253,271416,509669,120471,1504.63,80.07,271574.3466,1.139192371,NYANZA,,34.3043068
BONDO,Rural,53823,56643,110466,26023,497.69,52.29,56751.14563,1.052393958,NYANZA,,34.19064437
RARIEDA,Rural,63020,68522,131542,30178,400.42,75.37,68679.38475,1.087305617,NYANZA,,34.33792037
KISUMU EAST,Rural,41091,42394,83485,18041,284.35,63.45,42538.50853,1.031710107,NYANZA,,34.80473358
