District,rural/urban,Male,Female,Total,Households,Area in Sq. Km., Household Density ,Population Density,Gender Index,County,Location 1,Province
MIGORI,urban,39902,42562,82464,18565,75.49,1092.39,43090.57332,1.066663325,NYANZA,,34.30280979
RONGO,urban,92095,98962,191057,41015,416.16,459.1,99183.2971,1.074564309,NYANZA,,34.51455638
KURIA WEST,urban,18924,19067,37991,6786,28.73,1322.5,19725.6843,1.007556542,NYANZA,,34.51983447
KURIA EAST,urban,0,0,0,0,0,,,,NYANZA,,34.65699509
KISII CENTRAL,urban,41520,41108,82628,20687,27,3060.39,42645.77778,0.990077071,NYANZA,,34.79181187
KISII SOUTH,urban,28609,31037,59646,12694,48.58,1227.69,31625.9049,1.084868398,NYANZA,,34.6895693
MASABA,urban,42737,47623,90360,19665,110.06,820.98,48011.30638,1.114327164,NYANZA,,34.88253143
GUCHA,urban,12788,13555,26343,6197,17.72,1486.71,14276.67043,1.059978104,NYANZA,,34.77186075
GUCHA SOUTH,urban,6108,6634,12742,2814,11.63,1095.85,7159.193465,1.086116568,NYANZA,,34.65567846
NYAMIRA,urban,30064,32425,62489,13876,60.35,1035.47,32923.16073,1.078532464,NYANZA,,34.96346861
MANGA,urban,0,0,0,0,0,,,,NYANZA,,34.90211779
BORABU,urban,2928,2886,5814,1536,1.71,3402.19,4598.280702,0.985655738,NYANZA,,35.02803793
TURKANA CENTRAL,urban,24693,25531,50224,9903,600.17,83.68,25572.14334,1.033936743,RIFT VALLEY,,35.44299468
TURKANA NORTH,urban,37567,33928,71495,13212,327.27,218.46,34042.78901,0.903133069,RIFT VALLEY,,35.09717514
TURKANA SOUTH,urban,0,0,0,0,0,,,,RIFT VALLEY,,35.99979492
WEST POKOT,urban,21181,21515,42696,9054,128.26,332.88,21680.14112,1.015768849,RIFT VALLEY,,35.16354392
POKOT NORTH,urban,0,0,0,0,0,,,,RIFT VALLEY,,35.10600361
POKOT CENTRAL,urban,0,0,0,0,0,,,,RIFT VALLEY,,35.49402215
SAMBURU CENTRAL,urban,9001,9149,18150,4520,13.02,1393.98,9840.321045,1.016442617,RIFT VALLEY,,36.71442163
SAMBURU EAST,urban,6370,6152,12522,2859,266.51,46.99,6175.901542,0.96577708,RIFT VALLEY,,37.47389892
SAMBURU NORTH,urban,3825,4167,7992,1648,17.44,458.18,4386.323394,1.089411765,RIFT VALLEY,,36.83086912
TRANS NZOIA WEST,urban,74784,73728,148512,37131,123.42,1203.3,74333.93097,0.985879332,RIFT VALLEY,,34.89426897
TRANS NZOIA EAST,urban,0,0,0,0,0,,,,RIFT VALLEY,,35.18029104
KWANZA,urban,9537,9371,18908,4116,13.68,1382.59,10068.14912,0.982594107,RIFT VALLEY,,34.85810469
BARINGO,urban,14776,16197,30973,7629,57.78,536.06,16452.72863,1.096169464,RIFT VALLEY,,35.97415916
BARINGO NORTH,urban,0,0,0,0,0,,,,RIFT VALLEY,,35.80555092
EAST POKOT,urban,0,0,0,0,0,,,,RIFT VALLEY,,36.01860317
KOIBATEK,urban,14988,15590,30578,8163,43.54,702.35,15934.23519,1.040165466,RIFT VALLEY,,35.86953085
ELDORET WEST,urban,72733,71490,144223,41805,72.27,1995.68,72496.40653,0.982910096,RIFT VALLEY,,35.19163187
ELDORET EAST,urban,40478,40251,80729,20596,74.04,1090.3,40797.70448,0.994392015,RIFT VALLEY,,35.41893944
WARENG,urban,61296,59311,120607,34093,164.83,731.7,59682.87405,0.967616158,RIFT VALLEY,,35.33850049
MARAKWET,urban,3753,3912,7665,1916,5.04,1520.83,4656.642857,1.042366107,RIFT VALLEY,,35.50699822
KEIYO,urban,22200,23321,45521,9689,150.86,301.74,23468.1563,1.050495495,RIFT VALLEY,,35.57039657
NANDI NORTH,urban,1885,1940,3825,980,6.68,572.59,2222.185629,1.029177719,RIFT VALLEY,,35.06077368
NANDI CENTRAL,urban,44049,44586,88635,19992,198.27,447.04,44808.16674,1.012190969,RIFT VALLEY,,35.08490348
NANDI EAST,urban,4952,4869,9821,2773,8.49,1156.69,5452.274441,0.983239095,RIFT VALLEY,,35.23779105
NANDI SOUTH,urban,0,0,0,0,0,,,,RIFT VALLEY,,34.96800793
TINDERET,urban,0,0,0,0,0,,,,RIFT VALLEY,,35.3167413
LAIKIPIA NORTH,urban,770,653,1423,373,2.07,689.04,1024.980676,0.848051948,RIFT VALLEY,,36.99627658
LAIKIPIA EAST,urban,23802,22889,46691,14160,123.62,377.71,23081.54166,0.961641879,RIFT VALLEY,,36.95183375
LAIKIPIA WEST,urban,24771,26232,51003,14732,121.76,418.89,26435.4412,1.058980259,RIFT VALLEY,,36.5181069
NAKURU,urban,164915,161210,326125,96132,344.33,947.12,161688.9446,0.977533881,RIFT VALLEY,,36.03461164
NAKURU NORTH,urban,35167,37466,72633,19286,67.31,1079.06,37988.46323,1.065373788,RIFT VALLEY,,36.16401596
NAIVASHA,urban,116658,112728,229386,69025,833.54,275.2,112867.9549,0.966311783,RIFT VALLEY,,36.33344468
MOLO,urban,52738,54143,106881,29170,94.97,1125.37,54698.3122,1.026641132,RIFT VALLEY,,35.75756717
NAROK NORTH,urban,22945,21833,44778,12903,23.26,1924.83,22819.45744,0.951536282,RIFT VALLEY,,35.99464674
NAROK SOUTH,urban,0,0,0,0,0,,,,RIFT VALLEY,,35.5807782
TRANS MARA,urban,6845,6871,13716,3599,12.34,1111.61,7425.700162,1.003798393,RIFT VALLEY,,34.89742997
KAJIADO CENTRAL,urban,16702,16551,33253,9051,32.61,1019.63,17063.17418,0.990959167,RIFT VALLEY,,36.89341002
LOITOKITOK,urban,7365,7382,14747,4138,21.9,673.27,7718.30137,1.002308215,RIFT VALLEY,,37.47875865
KERICHO,urban,68811,66351,135162,32135,172.78,782.29,66749.2579,0.964249902,RIFT VALLEY,,35.21130866
KIPKELION,urban,46323,46833,93156,18635,431.21,216.03,46940.42562,1.01100965,RIFT VALLEY,,35.47881562
BURET,urban,12458,12924,25382,5518,33.2,764.42,13299.24096,1.037405683,RIFT VALLEY,,35.3033778
SOTIK,urban,4337,4029,8366,2311,5.45,1536.43,4824.779817,0.928983168,RIFT VALLEY,,35.1490337
BOMET,urban,48937,49570,98507,19238,227.01,433.93,49785.572,1.012934998,RIFT VALLEY,,35.31899335
KAJIADO NORTH,urban,119568,117294,236862,73931,427.58,553.96,117573.6389,0.980981534,RIFT VALLEY,,36.44660994
KAKAMEGA CENTRAL,urban,47257,46624,93881,23769,48.73,1926.62,47593.77221,0.986605159,WESTERN,,34.6856109
KAKAMEGA SOUTH,urban,0,0,0,0,0,,,,WESTERN,,34.7077479
KAKAMEGA NORTH,urban,2365,2525,4890,1231,3.59,1362.69,3183.774373,1.067653277,WESTERN,,34.82641205
KAKAMEGA EAST,urban,1110,1190,2300,516,2.21,1042.28,1692.262443,1.072072072,WESTERN,,34.85789384
LUGARI,urban,9968,10483,20451,4796,27.24,750.78,10848.93245,1.051665329,WESTERN,,35.02947866
VIHIGA,urban,59711,65048,124759,27576,97.32,1282.01,65661.55323,1.089380516,WESTERN,,34.72682968
EMUHAYA,urban,23734,25612,49346,11648,39.12,1261.43,26218.69734,1.079126991,WESTERN,,34.60778185
HAMISI,urban,0,0,0,0,0,,,,WESTERN,,34.82143608
MUMIAS,urban,57691,60618,118309,27955,161.54,732.36,60975.13136,1.050735817,WESTERN,,34.48762031
BUTERE,urban,5998,6782,12780,2923,11.64,1098.08,7297.292096,1.130710237,WESTERN,,34.54564535
BUNGOMA SOUTH,urban,46556,47897,94453,22015,87.42,1080.5,48429.55548,1.028804021,WESTERN,,34.52131934
BUNGOMA NORTH,urban,47354,50373,97727,19571,138.78,704.18,50714.21631,1.063753854,WESTERN,,34.86452529
BUNGOMA EAST,urban,30516,31674,62190,13973,77,807.7,32070.31169,1.037947306,WESTERN,,34.73645726
BUNGOMA WEST,urban,16439,17810,34249,7491,57.61,594.47,18095.34977,1.083399234,WESTERN,,34.54143282
MT. ELGON,urban,4887,5190,10077,2296,8.75,1151.58,5748.514286,1.062001228,WESTERN,,34.59729929
BUSIA,urban,21385,22953,44338,10571,30.9,1434.66,23645.0712,1.073322422,WESTERN,,34.26474625
TESO NORTH,urban,22015,23114,45129,9941,78.56,574.48,23394.23167,1.049920509,WESTERN,,34.34692124
SAMIA,urban,0,0,0,0,0,,,,WESTERN,,34.08114406
BUNYALA,urban,3101,3460,6561,1710,2.96,2217,4507.635135,1.115769107,WESTERN,,34.02046792
TESO SOUTH,urban,12700,13462,26162,6026,22.07,1185.36,14037.44178,1.06,WESTERN,,34.22063324
