District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,latitude,longitude,Province
KAKAMEGA NORTH,63536,10644,11670,4,991,567,214560,9276,2634,Kakamega,"(0.473620028, 34.82641205)",0.473620028,34.82641205,WESTERN
BARINGO,68595,72260,168852,13,3047,243,119715,11032,42416,Baringo,"(0.448155493, 35.97415916)",0.448155493,35.97415916,RIFE VALLEY
NANDI NORTH,86242,43588,7166,6,1278,244,147802,11820,4586,Nandi,"(0.438611778, 35.06077368)",0.438611778,35.06077368,RIFE VALLEY
BUSIA,71386,15269,19050,0,590,21315,362069,13515,1337,Busia,"(0.413063265, 34.26474625)",0.413063265,34.26474625,WESTERN
LAIKIPIA WEST,94573,149414,115864,717,7111,1481,179512,19036,6843,Laikipia,"(0.39729996, 36.5181069)",0.39729996,36.5181069,RIFE VALLEY
MUMIAS,73060,15498,8443,4,1202,3579,338298,20479,1415,Kakamega,"(0.35427418, 34.48762031)",0.35427418,34.48762031,WESTERN
KAKAMEGA CENTRAL,65044,12219,12864,2004,785,2705,277667,23486,1479,Kakamega,"(0.350512813, 34.6856109)",0.350512813,34.6856109,WESTERN
IGEMBE,108661,25083,100052,1448,5260,4401,199324,28356,16731,Meru,"(0.303772382, 38.05720532)",0.303772382,38.05720532,EASTERN
WARENG,85421,55837,6514,0,2105,6374,168639,44609,6312,Uasin Gishu,"(0.299690606, 35.33850049)",0.299690606,35.33850049,RIFE VALLEY
LAGDERA,197846,489282,561883,104992,33568,16,19710,4020,439,Garissa,"(0.288065622, 39.89717479)",0.288065622,39.89717479,NORTH EASTERN
KAKAMEGA EAST,43994,7662,3450,0,458,6198,154080,11131,2799,Kakamega,"(0.273804872, 34.85789384)",0.273804872,34.85789384,WESTERN
TIGANIA,97740,29995,94750,2529,5325,8053,227334,18812,28225,Meru,"(0.256927453, 37.77333779)",0.256927453,37.77333779,EASTERN
SAMIA,17079,4548,16690,0,132,7386,93144,5649,502,Busia,"(0.249684994, 34.08114406)",0.249684994,34.08114406,WESTERN
NANDI CENTRAL,85198,34680,5220,13,675,476,171878,15077,6652,Nandi,"(0.237462739, 35.08490348)",0.237462739,35.08490348,RIFE VALLEY
BUTERE,64007,14963,12378,0,859,3204,226742,19773,1986,Kakamega,"(0.192421093, 34.54564535)",0.192421093,34.54564535,WESTERN
KAKAMEGA SOUTH,29661,4793,1814,2,193,6123,117054,4551,639,Kakamega,"(0.190561619, 34.7077479)",0.190561619,34.7077479,WESTERN
SIAYA,167154,55755,79573,8,1552,9905,616660,34332,11734,Siaya,"(0.11399015, 34.3043068)",0.11399015,34.3043068,NYANZA
KOIBATEK,96952,67988,100644,6,8228,174,145569,20700,22805,Baringo,"(0.105862677, 35.86953085)",0.105862677,35.86953085,RIFE VALLEY
NANDI EAST,35420,10971,5294,6,963,181,72246,5060,2130,Nandi,"(0.105368029, 35.23779105)",0.105368029,35.23779105,RIFE VALLEY
HAMISI,38990,3685,7894,0,220,358,121759,8883,651,Vihiga,"(0.099070606, 34.82143608)",0.099070606,34.82143608,WESTERN
LAIKIPIA EAST,55695,105048,46454,22,2374,1209,125100,22197,3972,Laikipia,"(0.093934415, 36.95183375)",0.093934415,36.95183375,RIFE VALLEY
BUNYALA,13912,2632,10577,0,102,2884,57163,1625,152,Busia,"(0.085563847, 34.02046792)",0.085563847,34.02046792,WESTERN
IMENTI NORTH,84555,72865,46724,49,2371,4320,212865,49956,10158,Meru,"(0.083380846, 37.43552549)",0.083380846,37.43552549,EASTERN
VIHIGA,59588,3747,14323,1,298,486,199210,15368,598,Vihiga,"(0.079761357, 34.72682968)",0.079761357,34.72682968,WESTERN
